Marca,Modelo,Ano,Kilometraje,Condicion,Combustible,Color,Transmision,price,location,Comuna,Tipo_de_vendedor,Category
Volvo,Xc60,2011,90000,Usado,Bencina,Gris,Automática,9800000,Los Lagos,Osorno,Vendedor de autos.,Autos-vehículo
Nissan,Qashqai,2021,19150,Usado,Bencina,Plata Plata,Automática,12790000,Valparaíso,San Felipe,Vendedor de autos.,Autos-vehículo
Chery,Tiggo,2018,67289,Usado,Bencina,Gris,Automática,8590000,Metropolitana de Santiago,La Florida,Vendedor de autos.,Autos-vehículo
Ram,Van 1000,2022,40000,Usado,Diesel,Blanco,Automática,7990000,Maule,Talca,Vendedor de autos.,Autos-vehículo
Mazda,3 Sport,2022,29850,Usado,Bencina,Plata,Automática,16880000,Los Lagos,Osorno,Vendedor de autos.,Autos-vehículo
Toyota,Hilux,2019,141831,Usado,Diesel,Rojo,Automática,11480000,Metropolitana de Santiago,Providencia,Vendedor de autos.,Autos-vehículo
Hyundai,Grand I10,2018,60000,Usado,Bencina,Gris,Automática,6490000,Metropolitana de Santiago,Ñuñoa,Vendedor de autos.,Autos-vehículo
Kia,Sonet,2021,71207,Usado,Bencina,Gris,Automática,11990000,OHiggins,Rancagua,Vendedor de autos.,Autos-vehículo
Subaru,Xv,2017,100,Usado,Bencina,Blanco,Automática,12380000,Metropolitana de Santiago,Colina,Vendedor de autos.,Autos-vehículo
Peugeot,5008,2022,84500,Usado,Diesel,Gris,Automática,18390000,Valparaíso,Viña del Mar,Vendedor de autos.,Autos-vehículo
Citroën,Jumper,2018,38904,Usado,Diesel,Blanco,Automática,18980000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,Autos-vehículo
SsangYong,Rexton,2019,92500,Usado,Diesel,Granate,Automática,20990000,Araucanía,Temuco,Vendedor de autos.,Autos-vehículo
Ford,Edge,2021,52767,Usado,Bencina,Gris,Automática,21990000,Metropolitana de Santiago,San Joaquín,Vendedor de autos.,Autos-vehículo
Chevrolet,Tracker,2022,79000,Usado,Bencina,Blanco Blanco,Manual,9490000,Bío Bío,Los Angeles,Vendedor de autos.,"Autos, camionetas y 4x4"
MG,Mg5,2013,114000,Usado,Bencina,Blanco,Manual,4850000,Metropolitana de Santiago,Recoleta,Vendedor de autos.,"Autos, camionetas y 4x4"
Mercedes-Benz,E 200,2018,60792,Usado,Bencina,Blanco,Automática,32570000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,"Autos, Camionetas y 4x4"
Chevrolet,Colorado,2019,107357,Usado,Diesel,Blanco,Automática,19233915,Los Lagos,Osorno,Vendedor de autos.,Pick Up
Land Rover,Evoque,2020,57500,Usado,Bencina,Plata,Automática,29990000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,"Autos, Camionetas y 4x4"
Ford,Ranger,2019,101000,Usado,Diesel,Rojo,Manual,18990000,Los Lagos,Puerto Montt,Vendedor de autos.,"Autos, Camionetas y 4x4"
JAC,Js2,2021,70000,Usado,Bencina,Plata,Manual,7790000,Araucanía,Temuco,Vendedor de autos.,"Autos, Camionetas y 4x4"
Peugeot,208,2022,24500,Usado,Diesel,Gris,Manual,12880000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, Camionetas y 4x4"
Dodge,Durango,2014,190000,Usado,Bencina,Azul,Automática,12590000,Valparaíso,Villa Alemana,Vendedor de autos.,"Autos, Camionetas y 4x4"
Chevrolet,Trailblazer,2022,70300,Usado,Diesel,NEGRO,Automática,23990000,Metropolitana de Santiago,La Reina,Vendedor de autos.,"Autos, Camionetas y 4x4"
Honda,Cr-V,2014,124776,Usado,Bencina,Gris,Automática,9780000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,"Autos, Camionetas y 4x4"
Ford,F-150,2010,145000,Usado,Bencina,Naranja,Automática,17990000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,"Autos, Camionetas y 4x4"
Mitsubishi,Montero,2017,122000,Usado,Diesel,Gris,Automática,23990000,OHiggins,Rancagua,Vendedor de autos.,"Autos, Camionetas y 4x4"
JAC,Js3,2022,48000,Usado,Bencina,Rojo,Automática,8900000,Metropolitana de Santiago,Maipú,Vendedor de autos.,"Autos, camionetas y 4x4"
Kia,Rio 5,2019,35000,Usado,Bencina,Gris,Manual,11000000,Metropolitana de Santiago,Cerrillos,Vendedor de autos.,"Autos, camionetas y 4x4"
BMW,520,2013,86000,Usado,Bencina,Gris,Automática,15500000,Metropolitana de Santiago,Macul,Vendedor de autos.,"Autos, camionetas y 4x4"
Jeep,Grand Cherokee,2022,44000,Usado,Bencina,Negro,Automática,29900000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, camionetas y 4x4"
Opel,Mokka,2025,300,Usado,Bencina,Rojo,Automática,18790000,Metropolitana de Santiago,Lo Barnechea,Vendedor de autos.,"Autos, Camionetas y 4x4"
BMW,120,2017,90500,Usado,Bencina,Negro,Automática,19850000,Metropolitana de Santiago,Santiago,Vendedor de autos.,"Autos, camionetas y 4x4"
Peugeot,Partner,2019,170000,Usado,Diesel,Blanco,Manual,8600000,Araucanía,Padre de las casas,Vendedor de autos.,"Autos, camionetas y 4x4"
Dodge,Durango,2014,166000,Usado,Bencina,Negro,Automática,9300000,Metropolitana de Santiago,Colina,Vendedor de autos.,"Autos, camionetas y 4x4"
Baic,X35,2024,1700,Usado,Bencina,BLANCO,Manual,9490000,Valparaíso,Quillota,Vendedor de autos.,"Autos, Camionetas y 4x4"
Opel,Astra,2015,107000,Usado,Bencina,Blanco,Automática,6500000,Metropolitana de Santiago,La Florida,Vendedor de autos.,"Autos, camionetas y 4x4"
Toyota,Hilux,2021,100000,Usado,Diesel,Gris,Automática,31800000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, camionetas y 4x4"
